"name","authorFirstName","authorLastName","category","isbn","issn","mediaType","location"
"Der Circle","Dave","Eggers","Belletristik","9783462048544",,"Buch","Außenstelle Brigittenau I"
"Über die Relativitätstheorie","Albert","Einstein","Fachbuch Naturwissenschaften","9783540877769",,"Buch","Außenstelle Brigittenau I"
"Blackout","Marc","Elsberg","Belletristik","9783764504458",,"Buch","Außenstelle Brigittenau I"
"Gier","Marc","Elsberg","Belletristik","9783764506322",,"Buch","Außenstelle Brigittenau I"
"Zero","Marc","Elsberg","Belletristik","9783734100932",,"Buch","Außenstelle Brigittenau I"
"Die unendliche Geschichte","Michael","Ende","Belletristik","9783522202503",,"Buch","Außenstelle Brigittenau I"
"Momo","Michael","Ende","Belletristik","9783522177504",,"Buch","Außenstelle Brigittenau I"
"Analytische Geometrie & Algebra","Kurt","Endl","Fachbuch Naturwissenschaften","3184007693",,"Buch","Außenstelle Brigittenau I"
"Informationstechnik","Kemal","Erdem","Fachbuch IT","3142312307",,"Buch","Außenstelle Brigittenau I"
"The Greenpeace Chronicles","Steve","Erwood","Belletristik","9789073361003",,"Buch","Außenstelle Brigittenau I"
"VW Transporter reparieren","Rüdiger","Etzold","Fachbuch Diverse","9783768807388",,"Buch","Außenstelle Brigittenau I"
"Der lange Weg des Lukas B.","Willi","Fährmann","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Angriff aus dem Netz","Brian","Falkner","Belletristik","9783423248419",,"Buch","Außenstelle Brigittenau I"
"Psychopharmaka in Stichworten","Volker","Faust","Fachbuch Medizin","3609633409",,"Buch","Außenstelle Brigittenau I"
"Elektrische & elektronische Meßtechnik","Rainer","Felderhoff","Fachbuch Elektronik","3446156089",,"Buch","Außenstelle Brigittenau I"
"Wir Kinder vom Bahnhof Zoo","Christiane","Felscherinow","Belletristik","9783551317322",,"Buch","Außenstelle Brigittenau I"
"Mathematik Maturaaufgaben","Friedrich","Fiala","Fachbuch Naturwissenschaften","3209004676",,"Buch","Außenstelle Brigittenau I"
"Analytische Geometrie","Gerd","Fischer","Fachbuch Naturwissenschaften","9783528672355",,"Buch","Außenstelle Brigittenau I"
"Abgeschnitten","Sebastian","Fitzek","Belletristik","9783426522813",,"Buch","Außenstelle Brigittenau I"
"Noah","Sebastian","Fitzek","Belletristik","9783785724828",,"Buch","Außenstelle Brigittenau I"
"Albert Einstein","Albrecht","Fölsing","Fachbuch Geschichte","9783518389904",,"Buch","Außenstelle Brigittenau I"
